"Regionaam";"Totaal";"Koopwoningen";"Huurwoning in bezit woningcorporatie";"Eigendom overige verhuurders"
"Nederland";"368";"439";"249";"323"
"Groningen (PV)";"268";"324";"183";"229"
"Fryslan (PV)";"278";"334";"172";"210"
"Drenthe (PV)";"295";"349";"172";"224"
"Overijssel (PV)";"326";"391";"209";"255"
"Flevoland (PV)";"348";"395";"244";"302"
"Gelderland (PV)";"365";"435";"236";"293"
"Utrecht (PV)";"448";"535";"303";"366"
"Noord-Holland (PV)";"461";"548";"330";"445"
"Zuid-Holland (PV)";"359";"447";"244";"302"
"Zeeland (PV)";"282";"326";"169";"227"
"Noord-Brabant (PV)";"370";"441";"240";"303"
"Limburg (PV)";"288";"346";"182";"233"
"Aa en Hunze";"343";"390";"165";"313"
"Aalsmeer";"494";"574";"331";"385"
"Aalten";"313";"347";"208";"263"
"Achtkarspelen";"256";"305";"161";"211"
"Alblasserdam";"324";"386";"207";"326"
"Albrandswaard";"431";"494";"265";"381"
"Alkmaar";"342";"410";"235";"273"
"Almelo";"272";"340";"181";"221"
"Almere";"363";"410";"268";"321"
"Alphen aan den Rijn";"360";"420";"244";"280"
"Alphen-Chaam";"441";"486";"236";"361"
"Altena";"377";"428";"246";"332"
"Ameland";"343";"394";"";"244"
"Amersfoort";"432";"518";"305";"331"
"Amstelveen";"528";"683";"354";"434"
"Amsterdam";"517";"687";"393";"513"
"Apeldoorn";"378";"455";"246";"297"
"Appingedam";"";"";"";""
"Arnhem";"323";"420";"231";"273"
"Assen";"278";"333";"190";"."
"Asten";"403";"455";"234";"388"
"Baarle-Nassau";"391";"439";"219";"309"
"Baarn";"471";"579";"289";"314"
"Barendrecht";"421";"470";"283";"367"
"Barneveld";"434";"505";"260";"314"
"Beek (L.)";"293";"336";"176";"224"
"Beekdaelen";"304";"341";"177";"245"
"Beemster";"";"";"";""
"Beesel";"291";"335";"195";"230"
"Berg en Dal";"349";"413";"232";"277"
"Bergeijk";"432";"475";"223";"359"
"Bergen (L.)";"327";"365";"202";"347"
"Bergen (NH.)";"548";"644";"300";"408"
"Bergen op Zoom";"304";"362";"202";"266"
"Berkelland";"357";"411";"213";"318"
"Bernheze";"428";"488";"257";"331"
"Best";"404";"456";"244";"347"
"Beuningen";"377";"430";"235";"304"
"Beverwijk";"341";"409";"262";"256"
"De Bilt";"580";"723";"331";"390"
"Bladel";"409";"456";"240";"315"
"Blaricum";"843";"989";"399";"790"
"Bloemendaal";"930";"1104";"361";"687"
"Bodegraven-Reeuwijk";"434";"488";"277";"341"
"Boekel";"398";"444";"212";"341"
"Borger-Odoorn";"297";"334";"168";"266"
"Borne";"370";"417";"239";"316"
"Borsele";"295";"325";"189";"273"
"Boxmeer";"";"";"";""
"Boxtel";"376";"451";"227";"316"
"Breda";"382";"482";"240";"293"
"Brielle";"";"";"";""
"Bronckhorst";"419";"478";"244";"332"
"Brummen";"372";"447";"229";"312"
"Brunssum";"222";"258";"152";"195"
"Bunnik";"530";"586";"334";"425"
"Bunschoten";"420";"462";"278";"321"
"Buren";"416";"460";"246";"408"
"Capelle aan den IJssel";"310";"383";"212";"265"
"Castricum";"478";"536";"285";"331"
"Coevorden";"287";"334";"161";"225"
"Cranendonck";"354";"399";"198";"281"
"Cuijk";"";"";"";""
"Culemborg";"369";"423";"265";"288"
"Dalfsen";"399";"442";"251";"322"
"Dantumadiel";"291";"354";"170";"252"
"Delft";"322";"450";"226";"287"
"Delfzijl";"";"";"";""
"Deurne";"387";"447";"252";"323"
"Deventer";"324";"403";"217";"244"
"Diemen";"429";"542";"335";"365"
"Dijk en Waard";"366";"415";"239";"272"
"Dinkelland";"379";"423";"191";"309"
"Doesburg";"287";"357";"198";"249"
"Doetinchem";"303";"371";"187";"237"
"Dongen";"342";"384";"223";"288"
"Dordrecht";"296";"365";"184";"232"
"Drechterland";"399";"451";"249";"262"
"Drimmelen";"373";"416";"240";"341"
"Dronten";"337";"385";"219";"288"
"Druten";"347";"396";"222";"."
"Duiven";"346";"394";"231";"311"
"Echt-Susteren";"303";"339";"186";"263"
"Edam-Volendam";"402";"435";"274";"342"
"Ede";"387";"456";"238";"283"
"Eemnes";"518";"573";"329";"521"
"Eemsdelta";"213";"254";"157";"165"
"Eersel";"448";"505";"243";"359"
"Eijsden-Margraten";"378";"414";"221";"276"
"Eindhoven";"360";"450";"281";"308"
"Elburg";"345";"399";"235";"267"
"Emmen";"240";"289";"146";"192"
"Enkhuizen";"320";"376";"231";"234"
"Enschede";"284";"367";"203";"217"
"Epe";"439";"527";"242";"380"
"Ermelo";"430";"508";"266";"."
"Etten-Leur";"343";"393";"238";"293"
"De Fryske Marren";"323";"371";"188";"298"
"Geertruidenberg";"329";"377";"238";"."
"Geldrop-Mierlo";"379";"447";"241";"287"
"Gemert-Bakel";"386";"445";"233";"308"
"Gennep";"348";"397";"216";"337"
"Gilze en Rijen";"341";"395";"233";"289"
"Goeree-Overflakkee";"347";"404";"219";"323"
"Goes";"303";"365";"197";"226"
"Goirle";"410";"471";"239";"376"
"Gooise Meren";"559";"704";"285";"323"
"Gorinchem";"312";"406";"205";"257"
"Gouda";"323";"386";"234";"262"
"Grave";"";"";"";""
"'s-Gravenhage (gemeente)";"354";"483";"232";"296"
"Groningen (gemeente)";"295";"393";"215";"244"
"Gulpen-Wittem";"330";"384";"187";"258"
"Haaksbergen";"357";"411";"212";"274"
"Haaren";"";"";"";""
"Haarlem";"480";"592";"326";"402"
"Haarlemmermeer";"472";"531";"328";"412"
"Halderberge";"339";"396";"219";"286"
"Hardenberg";"305";"347";"187";"248"
"Harderwijk";"382";"456";"255";"313"
"Hardinxveld-Giessendam";"335";"388";"216";"315"
"Harlingen";"237";"293";"158";"."
"Hattem";"399";"477";"239";"273"
"Heemskerk";"402";"479";"268";"352"
"Heemstede";"677";"837";"356";"390"
"Heerde";"405";"466";"234";"343"
"Heerenveen";"315";"384";"190";"255"
"Heerhugowaard";"";"";"";""
"Heerlen";"203";"261";"142";"172"
"Heeze-Leende";"458";"506";"235";"377"
"Heiloo";"506";"580";"287";"332"
"Den Helder";"223";"269";"163";"181"
"Hellendoorn";"364";"406";"222";"348"
"Hellevoetsluis";"";"";"";""
"Helmond";"312";"395";"205";"251"
"Hendrik-Ido-Ambacht";"397";"445";"247";"375"
"Hengelo (O.)";"292";"360";"199";"213"
"'s-Hertogenbosch";"398";"488";"276";"349"
"Heumen";"396";"450";"223";"."
"Heusden";"406";"466";"259";"346"
"Hillegom";"403";"460";"270";"336"
"Hilvarenbeek";"452";"508";"255";"316"
"Hilversum";"451";"578";"296";"312"
"Hoeksche Waard";"360";"405";"234";"330"
"Hof van Twente";"345";"395";"204";"284"
"Het Hogeland";"251";"291";"154";"216"
"Hollands Kroon";"332";"373";"208";"302"
"Hoogeveen";"256";"309";"161";"191"
"Hoorn";"333";"392";"229";"283"
"Horst aan de Maas";"324";"359";"207";"237"
"Houten";"503";"572";"334";"433"
"Huizen";"448";"555";"279";"368"
"Hulst";"277";"312";"154";"233"
"IJsselstein";"402";"468";"277";"297"
"Kaag en Braassem";"447";"514";"310";"362"
"Kampen";"314";"370";"207";"235"
"Kapelle";"332";"363";"214";"240"
"Katwijk";"419";"483";"283";"356"
"Kerkrade";"199";"247";"145";"142"
"Koggenland";"378";"415";"228";"243"
"Krimpen aan den IJssel";"354";"409";"264";"."
"Krimpenerwaard";"387";"449";"250";"318"
"Laarbeek";"394";"455";"233";"329"
"Land van Cuijk";"346";"396";"215";"288"
"Landerd";"";"";"";""
"Landgraaf";"249";"289";"167";"212"
"Landsmeer";"580";"661";"367";"609"
"Langedijk";"";"";"";""
"Lansingerland";"479";"529";"297";"431"
"Laren (NH.)";"893";"1058";"444";"650"
"Leeuwarden";"234";"303";"156";"169"
"Leiden";"390";"515";"281";"326"
"Leiderdorp";"413";"479";"289";"312"
"Leidschendam-Voorburg";"380";"466";"235";"300"
"Lelystad";"326";"382";"223";"276"
"Leudal";"334";"366";"186";"271"
"Leusden";"448";"502";"298";"368"
"Lingewaard";"372";"420";"226";"289"
"Lisse";"405";"471";"294";"261"
"Lochem";"457";"532";"244";"318"
"Loon op Zand";"365";"421";"234";"302"
"Lopik";"444";"492";"269";"369"
"Loppersum";"";"";"";""
"Losser";"353";"399";"211";"299"
"Maasdriel";"406";"452";"252";"388"
"Maasgouw";"315";"345";"189";"272"
"Maashorst";"384";"455";"227";"327"
"Maassluis";"304";"368";"221";"274"
"Maastricht";"302";"416";"199";"266"
"Medemblik";"376";"426";"239";"319"
"Meerssen";"351";"400";"205";"267"
"Meierijstad";"405";"462";"250";"324"
"Meppel";"289";"358";"188";"215"
"Middelburg (Z.)";"259";"318";"163";"185"
"Midden-Delfland";"470";"526";"296";"384"
"Midden-Drenthe";"299";"345";"173";"241"
"Midden-Groningen";"239";"287";"148";"195"
"Mill en Sint Hubert";"";"";"";""
"Moerdijk";"335";"382";"230";"283"
"Molenlanden";"388";"447";"234";"347"
"Montferland";"282";"331";"167";"221"
"Montfoort";"426";"470";"278";"319"
"Mook en Middelaar";"423";"474";"219";"360"
"Neder-Betuwe";"355";"409";"236";"326"
"Nederweert";"371";"421";"213";"320"
"Nieuwegein";"349";"405";"258";"298"
"Nieuwkoop";"447";"499";"289";"371"
"Nijkerk";"442";"495";"296";"390"
"Nijmegen";"362";"459";"261";"341"
"Nissewaard";"279";"328";"204";"247"
"Noardeast-Fryslân";"271";"312";"177";"214"
"Noord-Beveland";"302";"319";"161";"."
"Noordenveld";"354";"400";"225";"253"
"Noordoostpolder";"310";"360";"191";"257"
"Noordwijk";"488";"574";"321";"361"
"Nuenen, Gerwen en Nederwetten";"471";"530";"247";"359"
"Nunspeet";"396";"460";"262";"306"
"Oegstgeest";"563";"641";"305";"436"
"Oirschot";"465";"509";"263";"."
"Oisterwijk";"478";"549";"277";"393"
"Oldambt";"254";"295";"166";"212"
"Oldebroek";"362";"416";"232";"261"
"Oldenzaal";"333";"400";"210";"261"
"Olst-Wijhe";"370";"428";"222";"268"
"Ommen";"388";"440";"227";"310"
"Oost Gelre";"289";"321";"178";"223"
"Oosterhout";"354";"416";"240";"317"
"Ooststellingwerf";"303";"353";"180";"268"
"Oostzaan";"474";"559";"294";"344"
"Opmeer";"369";"411";".";"238"
"Opsterland";"332";"375";"198";"."
"Oss";"346";"410";"226";"269"
"Oude IJsselstreek";"309";"355";"196";"276"
"Ouder-Amstel";"558";"684";"382";"458"
"Oudewater";"416";"470";"268";"355"
"Overbetuwe";"382";"439";"241";"301"
"Papendrecht";"331";"385";"216";"295"
"Peel en Maas";"356";"396";"218";"314"
"Pekela";"195";"225";"124";"169"
"Pijnacker-Nootdorp";"482";"536";"307";"416"
"Purmerend";"383";"442";"286";"328"
"Putten";"489";"571";"313";"340"
"Raalte";"369";"423";"234";"289"
"Reimerswaal";"273";"309";"173";"228"
"Renkum";"403";"485";"262";"252"
"Renswoude";"500";"560";"";"331"
"Reusel-De Mierden";"416";"463";"226";"308"
"Rheden";"346";"427";"229";"260"
"Rhenen";"411";"485";"243";"372"
"Ridderkerk";"331";"381";"256";"323"
"Rijssen-Holten";"352";"400";"224";"290"
"Rijswijk (ZH.)";"346";"447";"236";"270"
"Roerdalen";"307";"335";"197";"."
"Roermond";"289";"354";"191";"245"
"De Ronde Venen";"516";"596";"325";"429"
"Roosendaal";"292";"348";"185";"229"
"Rotterdam";"320";"420";"252";"296"
"Rozendaal";"750";"790";"372";"471"
"Rucphen";"352";"406";"223";"351"
"Schagen";"348";"392";"227";"296"
"Scherpenzeel";"389";"429";"260";"308"
"Schiedam";"288";"356";"208";"239"
"Schiermonnikoog";"383";"450";"258";"365"
"Schouwen-Duiveland";"343";"394";"195";"351"
"Simpelveld";"250";"303";"138";"."
"Sint Anthonis";"";"";"";""
"Sint-Michielsgestel";"460";"516";"261";"354"
"Sittard-Geleen";"253";"308";"163";"192"
"Sliedrecht";"303";"364";"203";"."
"Sluis";"304";"334";"169";"295"
"Smallingerland";"276";"337";"178";"199"
"Soest";"427";"517";"235";"292"
"Someren";"392";"445";"216";"358"
"Son en Breugel";"459";"509";"275";"372"
"Stadskanaal";"242";"288";"158";"."
"Staphorst";"350";"381";"207";"267"
"Stede Broec";"355";"393";"261";"275"
"Steenbergen";"326";"366";"210";"290"
"Steenwijkerland";"309";"365";"177";"253"
"Stein (L.)";"288";"321";"188";"."
"Stichtse Vecht";"455";"525";"287";"."
"Súdwest-Fryslân";"289";"338";"172";"244"
"Terneuzen";"236";"275";"135";"171"
"Terschelling";"426";"473";"298";"397"
"Texel";"372";"424";"238";"323"
"Teylingen";"458";"530";"303";"345"
"Tholen";"260";"291";"167";"219"
"Tiel";"316";"381";"223";"256"
"Tilburg";"314";"394";"218";"259"
"Tubbergen";"401";"448";"217";"322"
"Twenterand";"327";"380";"201";"294"
"Tynaarlo";"393";"440";"210";"276"
"Tytsjerksteradiel";"283";"320";"169";"222"
"Uden";"";"";"";""
"Uitgeest";"447";"500";"301";"315"
"Uithoorn";"427";"490";"317";"384"
"Urk";"327";"353";"219";"260"
"Utrecht (gemeente)";"458";"573";"342";"397"
"Utrechtse Heuvelrug";"494";"586";"285";"."
"Vaals";"220";"320";"147";"134"
"Valkenburg aan de Geul";"318";"387";"190";"221"
"Valkenswaard";"360";"432";"244";"275"
"Veendam";"213";"251";"132";"152"
"Veenendaal";"375";"452";"250";"298"
"Veere";"388";"412";"200";"381"
"Veldhoven";"442";"513";"266";"377"
"Velsen";"393";"491";"249";"326"
"Venlo";"285";"344";"190";"224"
"Venray";"315";"366";"214";"254"
"Vijfheerenlanden";"379";"447";"254";"311"
"Vlaardingen";"278";"349";"214";"211"
"Vlieland";"392";"509";"313";"336"
"Vlissingen";"230";"286";"153";"164"
"Voerendaal";"329";"372";"201";"."
"Voorne aan Zee";"369";"425";"225";"310"
"Voorschoten";"486";"579";"296";"359"
"Voorst";"431";"504";"257";"."
"Vught";"496";"604";"281";"342"
"Waadhoeke";"242";"281";"150";"189"
"Waalre";"491";"557";"266";"347"
"Waalwijk";"341";"405";"226";"296"
"Waddinxveen";"372";"430";"246";"313"
"Wageningen";"347";"511";"227";"222"
"Wassenaar";"730";"919";"325";"695"
"Waterland";"457";"521";"276";"462"
"Weert";"330";"381";"212";"267"
"Weesp";"";"";"";""
"West Betuwe";"413";"462";"254";"."
"West Maas en Waal";"389";"439";"248";"291"
"Westerkwartier";"304";"348";"175";"217"
"Westerveld";"374";"419";"192";"342"
"Westervoort";"310";"364";"222";"254"
"Westerwolde";"269";"314";"146";"228"
"Westland";"424";"481";"284";"341"
"Weststellingwerf";"299";"356";"181";"226"
"Westvoorne";"";"";"";""
"Wierden";"380";"425";"213";"332"
"Wijchen";"357";"406";"228";"317"
"Wijdemeren";"537";"613";"298";"482"
"Wijk bij Duurstede";"419";"467";"280";"370"
"Winterswijk";"286";"327";"166";"218"
"Woensdrecht";"330";"367";"211";"."
"Woerden";"405";"476";"254";"291"
"De Wolden";"378";"432";"188";"284"
"Wormerland";"415";"491";"264";"362"
"Woudenberg";"470";"524";"320";"381"
"Zaanstad";"368";"432";"282";"329"
"Zaltbommel";"363";"417";"225";"319"
"Zandvoort";"467";"589";"296";"368"
"Zeewolde";"394";"442";"246";"385"
"Zeist";"514";"684";"301";"."
"Zevenaar";"303";"356";"188";"274"
"Zoetermeer";"357";"424";"265";"302"
"Zoeterwoude";"454";"502";"307";"367"
"Zuidplas";"411";"478";"243";"."
"Zundert";"409";"444";"261";"352"
"Zutphen";"311";"383";"208";"252"
"Zwartewaterland";"297";"339";"178";"222"
"Zwijndrecht";"303";"373";"199";"274"
"Zwolle";"344";"429";"234";"277"
